分析文本,积极情感,消极情感,sentiment,confidence
 贴吧过来的。。。,0.632663,0.367337,2,0.183695
 任何行业都有第一名！,0.700214,0.299786,2,0.333809
         垃圾,0.0712529,0.928747,0,0.84166
         无话可说,0.455031,0.544969,1,0.100623
         听说是豆瓣最低分，闻风而来。可是还是想问一句，真的比何以笙萧默更烂吗？,0.0521805,0.94782,0,0.884044
         擦,0.460451,0.539549,1,0.209026
         我想选择 不想看  ,0.256908,0.743092,0,0.429093
         今天又 来膜拜了,0.599752,0.400248,2,0.110561
         洗脑片低分没理由,0.274897,0.725103,0,0.389119
         膜拜！,0.600006,0.399994,2,0.111124
         带点文艺范的喜剧,0.73533,0.26467,2,0.411844
 洗脑片！,0.452265,0.547735,1,0.0452965
         Following...,0.423513,0.576487,0,0.05886
 不好啦，原本2.0星的影片升分了赶快拉下去啊,0.0764155,0.923585,0,0.830188
         垃圾,0.0712529,0.928747,0,0.84166
         谁给的三星和五星，说好的史上最低呢……,0.37957,0.62043,0,0.156511
         那些打五分的又是想说明什么呢？说明你多爱国？爱党？尤其那些看都没看过的打五星又是想说明什么呢？,0.801513,0.198487,2,0.558917
 不是我想看的东西,0.147109,0.852891,0,0.673091
         不做评价',0.333416,0.666584,0,0.259076
 慕名前来打分，太反动了,0.286344,0.713656,0,0.36368
 屌丝叛乱..,0.450575,0.549425,1,0.0114977
         垃圾电影,0.0847752,0.915225,0,0.811611
 强势围观,0.509943,0.490057,1,0.801148
         不给一星的太没节操了。。。,0.0246608,0.975339,0,0.945198
         冲着评分最低的名头来看看。既然来了就继续为此片做做贡献，历史会记住这部片的,0.439662,0.560338,0,0.0229736
         2333,0.540583,0.459417,1,0.188336
 没啥好说的,0.348088,0.651912,0,0.226472
         从未看过。。但是我是来挑战最低分的。。。,0.617195,0.382805,2,0.149322
         同样的题材看多了，剧情看多了，就会觉得这部电影在哪儿看过？,0.358642,0.641358,0,0.203017
